"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",2.94348620865858,0.280457855405734,2.41117169450353,2.75528243954685,2.93225907791703,3.13023452998031,3.52062145379791,1.06822221091092,37,0,1
"site.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"site.beta[2]",0.849343659787323,0.335183914702117,0.211771968348088,0.624839484693125,0.839838337177429,1.07941447760092,1.52153627472232,1.0098690145495,207,0,0.997166666666667
"site.beta[3]",-0.400530496313191,0.410687553824087,-1.23118308730698,-0.68216610770043,-0.394904478147838,-0.110098809088553,0.373094831209997,1.01938897452174,111,1,0.8305
"age.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"age.beta[2]",-0.122882149043314,0.316892040171589,-0.739702370276774,-0.339856192101585,-0.125046576126887,0.0914683620780652,0.488733545687869,1.02075767718481,111,1,0.646
"age.beta[3]",-0.0158017656183687,0.342613403992766,-0.692463706159527,-0.236139840579896,-0.0197905745872141,0.204947196216267,0.673177404711693,1.02293273913699,101,1,0.525166666666667
"age.beta[4]",-0.526623855468958,0.315625469307371,-1.14813153511316,-0.731728292828504,-0.527227980710508,-0.321688046546335,0.103562475258701,1.03362755580819,69,1,0.949666666666667
"age.beta[5]",-0.130690068681132,0.38066613239298,-0.853857323575028,-0.392035804387325,-0.138107880944682,0.115334069141563,0.646230190171604,1.03845662416203,63,1,0.644833333333333
"age.beta[6]",-0.622973057487206,0.364931473532711,-1.3252448697435,-0.874921931628655,-0.620101989818672,-0.387801816113908,0.107933043473746,1.0289319943519,85,1,0.951333333333333
"age.beta[7]",-1.63704093359627,0.340895481556515,-2.32243991609603,-1.86977619230159,-1.63558157048501,-1.40409826836389,-0.972755172464415,1.04779189447113,49,0,1
"age.beta[8]",-1.27174612215067,0.39188829473682,-2.07125384514657,-1.53490955441883,-1.26524009164688,-1.00507969290972,-0.513239743710678,1.0372275072432,60,0,1
"age.beta[9]",-1.88558794802508,0.400706239005701,-2.68921891233983,-2.14895034490347,-1.88138614784264,-1.61466388531551,-1.11396302553906,1.03309929296039,70,0,1
"age.beta[10]",-2.5437073710186,0.445090805876631,-3.42417288206491,-2.84066291202451,-2.54267058501172,-2.23246887417586,-1.6921407623105,1.02853990680517,75,0,1
"age.beta[11]",-3.42237205953043,0.589572392388754,-4.611823853547,-3.81400823475031,-3.40635880122857,-3.01658286517519,-2.29908686380284,1.02178488532201,101,0,1
"age.beta[12]",-10.4859557485664,5.60173619991487,-23.9492608642553,-13.6002695349477,-9.36818914120705,-6.30266648189488,-2.8434997319039,1.00136634059472,1944,0,0.998333333333333
"age.beta[13]",-0.137063351634731,10.0237106923644,-19.7842042908054,-7.08460677457782,-0.0395605461197475,6.72663851966791,19.3831667570987,1.00002777407669,6000,1,0.5015
"age.beta[14]",0.127771158726516,10.0855531748222,-19.5132555329127,-6.51555421735496,-0.00846372188053035,7.02872067010161,19.6748179178263,1.00027727394055,6000,1,0.499333333333333
"age.site.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
