"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",3.147225527452,0.276410382983381,2.62995019974016,2.96127984024913,3.13862204384126,3.32835537665534,3.69753292100089,1.02339278142064,94,0,1
"site.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"site.beta[2]",0.0652344556450864,0.160097781889719,-0.261158641340584,-0.0403022179837665,0.0696383458412101,0.174350066008625,0.371237041714836,1.00157078364545,1602,1,0.667166666666667
"site.beta[3]",-0.260087265256791,0.2157724625612,-0.679618620545865,-0.4064591628321,-0.261320106379212,-0.115099154595416,0.171860023906987,1.00320679863597,618,1,0.887666666666667
"age.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"age.beta[2]",-0.174753048219252,0.345965104451828,-0.865910217634311,-0.401823437689402,-0.17414188577483,0.0557601668976093,0.503317382496459,1.0147104087524,144,1,0.689833333333333
"age.beta[3]",-0.0694534026592465,0.368329780185536,-0.794915878638299,-0.314816848962959,-0.0742006617031906,0.17813200006525,0.64873884024233,1.00836481426757,261,1,0.576333333333333
"age.beta[4]",-0.618710958778097,0.325287109404038,-1.27045051709865,-0.836065858955422,-0.614306180059623,-0.402349684072162,0.030519225273844,1.01453187647051,155,1,0.9705
"age.beta[5]",-0.256268799662745,0.380187900630658,-0.991574149189755,-0.509361405957372,-0.259386296996149,-0.00753807181487559,0.506215581907003,1.011578249195,180,1,0.756833333333333
"age.beta[6]",-0.78366286878694,0.346098949053333,-1.45045747919137,-1.01751393480541,-0.783688499687975,-0.554862946405191,-0.0897853294417129,1.01030802410128,207,0,0.987166666666667
"age.beta[7]",-1.88221365224304,0.316153004358011,-2.52082738666383,-2.09378296804651,-1.88474555216972,-1.66119285667345,-1.28767737475782,1.01651482738658,140,0,1
"age.beta[8]",-1.55813112982024,0.35938544683324,-2.24561285474476,-1.80337056929658,-1.56480878186609,-1.31639802821562,-0.838031398427523,1.01274817918755,178,0,1
"age.beta[9]",-2.25641682110208,0.358412209038765,-2.95924255258562,-2.49740664820865,-2.25072975521983,-2.01420532968227,-1.56867273610215,1.01255117007451,208,0,1
"age.beta[10]",-2.98879501690039,0.389061620560129,-3.72211927842346,-3.2632178880884,-2.98962324982788,-2.71624752644023,-2.23998866155954,1.00750025393814,299,0,1
"age.beta[11]",-3.93711417115478,0.549256593616003,-5.05974841417099,-4.29542538483612,-3.92062194962246,-3.56847950770465,-2.89130088281692,1.00706745500983,490,0,1
"age.beta[12]",-10.5447169902196,5.41336645555919,-24.2350647099953,-13.4954764375998,-9.47545118537325,-6.48086490109562,-3.24738952631011,1.00215293803276,6000,0,0.999666666666667
"age.beta[13]",0.223363327232008,9.89566323624136,-19.4138025499981,-6.2836665966677,0.341460460511614,6.83018272740106,19.7468702556217,1.00007564036804,6000,1,0.513166666666667
"age.beta[14]",0.20617047613296,10.1369286528037,-20.2903118498639,-6.61643298228862,0.313724302313882,7.16696910837399,19.675922786457,1.00081272276097,3751,1,0.512166666666667
"by.rain.beta",0.0220952278597946,0.131272764552282,-0.232436365329351,-0.0644484890994278,0.0211858796833521,0.108685017776991,0.278031967941448,1.00423634479812,598,1,0.5665
"site.rain.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"site.rain.beta[2]",-0.0212587567695123,0.151737832109189,-0.315272126010143,-0.123271207686647,-0.0229843057398186,0.0796167436953777,0.278200320628014,1.00352365704878,745,1,0.558166666666667
"site.rain.beta[3]",-0.225935643330006,0.236670912606717,-0.684337542691466,-0.387353913412867,-0.227030282728802,-0.0690802293164108,0.24847598244963,1.00336654295007,565,1,0.838166666666667
"p",0.957930027707337,0.00447521474753048,0.948764958632486,0.954945243422308,0.958122265376134,0.961063684409397,0.966197585105926,1.00030022438014,3983,0,1
"eps.capyear[1]",0,0,0,0,0,0,0,NA,1,0,1
"eps.capyear[2]",-0.0760027477681393,0.177267230153359,-0.445217401869322,-0.185286245412071,-0.0696473949533049,0.0368985968032669,0.258088885347728,1.00249183936099,1619,1,0.6715
